Film	0015-1033
Kinoizkustvo	0323-9993
Kino	0861-4393
Jeune cinéma	0758-4202
Israel Films	0075-1170
Filmkultúra	0015-1580
Filmfacts	0015-153X
L'Illustration	0246-9251
Filmovym objektivem	0428-3813
Filmowy serwis prasowy	0430-4519
Film a divadlo	0426-1356
SDR-Magazin	0934-3830
Polish film	0015-136X
Publizistik	0033-4006
Film & [a] doba	0015-1068
Bibliotheksdienst	0006-1972
Dangdai-dianying	1002-4646
Bulletin d'information	0397-8435
Les cahiers de la cinémathèque	0764-8499
Focus on film	0015-5128
Films in review	0015-1688
Sputnik kino zritelja	0208-3140
Téléciné	0049-3287
Movie/TV marketing	0047-8288
Journal of the Audio Engineering Society	0004-7554
Cinéma française	0397-2313
Cinéma Québec	0319-4647
Computer graphics world	0271-4159
TV world	0142-7466
La Cinématographie française	0181-3595
Le Film français	0181-3587
DUZ	1613-1290
Unterhaltungskunst	0042-0565
Wissenschaftsmanagement	0947-9546
Zürcher Filmstudien	1876-3708
The Journal of popular film and television	0195-6051
Filmska kultura	0015-170X
TheaterZeitSchrift	0723-1172
Schriftenreihe der Niedersächsische Landesmedienanstalt	0949-7382
Journal of the Society of Motion Picture Engineers	0097-5834
Journal of the Society of Motion Picture and Television Engineers	0036-1682
SMPTE Journal	0036-1682
Foto-Kino-Technik	0367-2433
Kinotechnik	0368-5799
Kinotechnik und Filmtechnik	0936-6180
Rundbrief	0941-598X
Cinema journal	0009-7101
Screen education	0306-0691
Neue Zeitschrift für Musik	0028-3509
Screen international	0307-4617
Filmovi novini	0204-8760
Filmszene	0931-0835
Kunst und Literatur	0023-544X
Theorie und Praxis des sozialistischen Journalismus	0323-3294
New Canadian film	0548-4162
Copie zéro	0550-1318
Zibaldone	0930-8997
FilmGeschichte	1431-3502
Filmblatt	1433-2051
Filmforum	1431-7664
Reseña de literatura, arte y espectaculos	0080-1763
Take one	0039-9132
Cine al dia	0009-692X
On film	0160-1585
Canadian film digest	0008-3569
The Journal of film and video	0742-4671
Film en tv maker	0742-4671
La technique cinématographique	1142-6055
Bulletin de la Fédération des Industries Belges	0014-9349
FANT	0014-7494
Filmmakers newsletter	0015-1610
Der Schnitt	0949-7803
ZDB CD-ROM	0945-4136
Camera obscura	0270-5346
Off	0949-8931
Werben und verkaufen	0042-9538
Law and Economics of International Telecommunications	0935-0624
Berliner Lesezeichen	0945-0106
Informationsbulletin	0233-1489
[Vierundzwanzig] 24	0949-9164
Films	0261-8001
ARD-Magazin	0178-773X
Creative screenwriting	1084-8665
Location update	1058-3238
Literature - film quarterly	0090-4260
Quarterly review of film and video	0146-0013
TV Today	0948-2717
Informationskultur in Europa	1433-0644
TV Diskurs	1433-9439
Cyprus to-day	0045-9429
Digital Production	1433-2620
Schriften zur Kulturwissenschaft	1435-6589
Filmmaker	1063-8954
Siegener Forschungen zur romanischen Literatur- und Medienwissenschaft	1433-7983
Grimme	1437-2916
Computer graphics	1069-9236
Computer graphics	1088-6990
Computer graphics	1088-6974
AVA-Forschungsberichte	0341-8545
AV-Forschung	0341-8472
Abhandlungen zur Sprache und Literatur	0178-8515
Kinopis	0353-510X
Media Studien	1433-6480
Plot Point	1434-6745
Screen business online	1615-8555
Film & Video	0171-5259
Studien- & Berufswahl	1436-9516
Scenario	1079-6851
Revolver	1617-6642
Hrvatski filmski ljetopis	1330-7665
Bundesgesetzblatt	0341-1095
Bundesgesetzblatt	0341-1095
Filmový sbornik historický	0862-5352
La Cinémathèque Suisse	1012-6988
Cinema papers	0311-3639
GBG-Nieuws	0922-1689
Pantalla	0186-5471
Vitaphone News	1066-5951
Canadian film and TV bi-weekly	0008-3569
Filmrutan	0015-1661
The Hollywood Reporter	0018-3660
Maske und Kothurn	0025-4606
Critisch film forum	0574-4504
Newsletter	0106-0007
Présence du cinéma français	0297-8253
Animation Magazine	1041-617X
Medien & Kommunikationswissenschaft	1615-634X
Cinema Canada	0009-7071
Boletin del sistema estatal de documentacion del estado de Mexico	018-4492
Ecrans d'Afrique	1240-2001
Hablemos de cine	0046-6700
Journal of film preservation	1017-1126
Archives	0985-2395
7 ART	0768-1496
Continuum	1030-4312
Studien zum deutschen und europäischen Medienrecht	1438-4981
Kleine Reihe	5-0351
Screenshot	1616-2196
Arbeitspapiere des Instituts für Rundfunkökonomie an der Universität zu Köln	0945-8999
Medienheft	1424-4594
Schriften zur Medienwissenschaft	1616-9336
Medien und Fiktionen	1616-007X
Production Management	1437-5699
Film manija	0861-9719
Zeitschrift für Medienpsychologie	1617-6383
Quarterly review of film studies	0146-0013
Eurofilmfest	1029-5070
Praxis Film	1617-951X
Europäische Hochschulschriften	0531-7320
Film library quarterly	0015-1327
Die deutsche Bühne	0011-975X
Millennium Film Journal	1064-5586
Archive Zones	1359-8708
Framing film	1524-7821
Beiträge zur Literatur- und Mediendidaktik	1617-531X
Studies in Shakespeare	1067-0823
CUTG proceedings	4-0408
Kabel & Satellit	0177-9249
Films from Finland	1237-3648
Filmavisa	0332-5350
Nouvelles du Mexique	0468-995X
a 4	1437-6318
Jahrbuch Medien und Geschichte	1617-3007
Saarbrücker Studien zum Privat- und Wirtschaftsrecht	1433-8866
Filmblatt-Schriften	1610-4048
Written by	1092-468X
Screentalk	1600-9371
Petite bibliothèque des Cahiers du cinema	1275-2517
Schriftenreihe zu Medienrecht, Medienproduktion und Medienökonomie	1618-9566
Arbeitshefte Internationaler Journalismus	1619-8360
Funk und Ton	0367-3383
Science et industries photographiques	0371-0378
Die Photographische Industrie	0369-9633
Optik	0030-4026
Zeitschrift für wissenschaftliche Photographie, Photophysik und Photochemie	0372-9788
The journal of the Acoustical Society of America	0001-4966
Photographie und Forschung	0369-9544
Film theory	0724-0201
Navigationen	1619-1641
Kino	0948-2547
Television	0988-1042
New studies in aesthetics	0893-6005
Les Producteurs	0988-1042
Intersections in communications and culture	1528-610X
Kinovedceskie zapiski	0235-8212
Internet Research	1617-6839
Das Achtzehnte Jahrhundert	0722-740-X
Medienwissenschaft	1610-644X
Berliner Beiträge zur Mediengeschichte	1612-4464
German life and civilization	0899-9899
Schriften zum Staatskirchenrecht	1437-3149
Kulturwissenschaftliche Medienforschung	1610-8434
Erfahrung - Wissen - Imagination	1619-9464
Mädchen machen Medien	1616-4695
Michael Verhoeven	1434-4572
Moveast	1215-234X
Scriptwriter	1475-5157
Studien zur Kindheits- und Jugendforschung	1435-6791
Quadratur Kulturbuch	1437-5591
Bonner Beiträge zur Medienwissenschaft	1617-8432
Arte TV Magazin	1288-3263
Cultural Studies	0950-2386
Kolik	1560-6775
Film Society review	0015-1408
Schmalfilm	0177-3739
Schriften zum Medienrecht	1613-2831
Weiterbildung und Medien	0170-866x
Wo bleibt der Arbeiterfilm?	1615-4495
Contemporary Film, Television and Video	1543-0863
BPS-Report	0170-5067
Jugend-Medien-Schutz-Report	0170-5067
FKT	1430-9947
Arte Magazin	1288-3263
Bundesgesetzblatt	0341-1095
Bundesgesetzblatt	0341-1109
International Photo-Technik	0341-423X
Informations	0397-8435
Der deutsche Kameramann	0012-0340
The Journal of popular film	0047-2719
Hungarian cinema	0865-9206
Nouveau film français	0181-3528
Kino	0173-5314
New Studies in European Cinema	1661-0261
Cover	1617-8580
Bildmessung und Luftbildwesen	0006-2421
Pynchon notes	0278-1891
Ekran	1312-336X
Popular culture & everyday life	1529-2428
Dramaturgies	1376-3199
Medien-Impulse	1029-3825
